event_type,latitude,longitude,address,event_cause,requires_road_closure,start_datetime,status,veh_type,corridor,priority,police_station,closed_datetime,resolved_datetime,zone,junction,zone_known,junction_known,hour_of_day,day_of_week,month,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,hour_bin,is_public_holiday,corridor_rolling_7d,corridor_rolling_30d,zone_rolling_7d,zone_rolling_30d,police_station_rolling_30d,police_station_rolling_7d,cause_x_corridor,cause_x_hour_bin,weekend_x_hour_bin,type_x_cause,h3_cell,events_within_1km,events_within_3km,events_within_5km,police_station_freq,h3_cell_freq,corridor_freq,desc_has_accident,desc_has_tree,desc_has_fire,desc_has_vip,desc_has_protest,priority_target,closure_target,clearance_time_minutes,clearance_time_log
unplanned,12.9668967,77.610555,"Richmond Road, Monsignor Dsouza Circle, Ashok Nagar, Bengaluru, Karnataka. Pin-560025 (India)",others,False,2023-11-09 19:24:48.154000+00:00,closed,Unknown_VehType,Non-corridor,Low,Ashok Nagar,2023-11-09 22:48:37.836256+00:00,,Central Zone 1,Other_Junction,True,True,19,3,11,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,evening_rush,0,0,0,0,0,0,0,others_Non-corridor,others_evening_rush,0_evening_rush,unplanned_others,87618925affffff,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Low,0,203.8280376,5.322170786138832
unplanned,12.9217733,77.585775,"38th Cross Road, Block 4T East, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)",water_logging,False,2023-11-09 20:51:36.296000+00:00,closed,Unknown_VehType,Non-corridor,Low,Jayanagara,2023-11-13 21:31:36.702368+00:00,,South Zone 1,Junction_Unknown,True,False,20,3,11,0,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,late_night,0,2,2,0,0,0,0,water_logging_Non-corridor,water_logging_late_night,0_late_night,unplanned_water_logging,87618925dffffff,0,0,1,0.0,0.0,0.6666666666666666,0,0,0,0,0,Low,0,5800.0067728,8.665786762988224
unplanned,12.9647158,77.5839903,"SP Road, Shoukath Mohalla, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",others,False,2023-11-09 22:10:51.914000+00:00,closed,Unknown_VehType,Mysore Road,High,Halasuru Gate,2023-11-15 21:19:57.816633+00:00,,Central Zone 2,TownhallJunction,True,True,22,3,11,0,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,late_night,0,0,0,2,2,1,1,others_Mysore Road,others_late_night,0_late_night,unplanned_others,87618925bffffff,0,3,4,0.16666666666666666,0.16666666666666666,0.0,0,0,0,0,0,High,0,8589.098377216667,9.058365467440854
unplanned,12.9581237,77.5739029,"KR Main Road, Professor P Shivshankar Circle, VV Puram, Bengaluru, Karnataka. Pin-560004 (India)",vehicle_breakdown,False,2023-11-09 22:35:52.555000+00:00,closed,bmtc_bus,Non-corridor,Low,V.V.Puram (C.Pet),2023-11-10 00:13:30.616095+00:00,,Central Zone 2,Other_Junction,True,True,22,3,11,0,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,late_night,0,4,4,4,4,0,0,vehicle_breakdown_Non-corridor,vehicle_breakdown_late_night,0_late_night,unplanned_vehicle_breakdown,87618925bffffff,0,3,6,0.0,0.375,0.5,0,0,0,0,0,Low,0,97.63435158333333,4.591419594273817
unplanned,12.9576503,77.55271,"Mysore Road, Valmiki Nagar, Bengaluru, Karnataka. Pin-560026 (India)",vehicle_breakdown,False,2023-11-10 00:31:14.562000+00:00,closed,lcv,Mysore Road,High,Chamarajpet,2023-11-10 01:00:36.722165+00:00,,Central Zone 2,toll gate mysore road,True,True,0,4,11,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,night,0,1,1,5,5,0,0,vehicle_breakdown_Mysore Road,vehicle_breakdown_night,0_night,unplanned_vehicle_breakdown,8760145a2ffffff,0,1,5,0.0,0.0,0.07692307692307693,0,0,0,0,0,High,0,29.369336083333334,3.413433417881375
unplanned,12.9591732,77.6571489,"Old Airport Road, Ganesha Mandira Circle, Airport Area, Bengaluru, Karnataka. Pin-560017 (India)",others,False,2023-11-10 00:56:37.499000+00:00,closed,Unknown_VehType,Old Airport Road,High,Jeevanbheemanagar,2023-11-15 22:40:17.267416+00:00,,Central Zone 1,Other_Junction,True,True,0,4,11,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,night,0,0,0,1,1,0,0,others_Old Airport Road,others_night,0_night,unplanned_others,876189252ffffff,0,0,0,0.0,0.0,0.0,0,0,0,0,0,High,0,8503.662806933333,9.048369857592913
unplanned,13.0432983,77.6079367,"MBT Road, SNN Clermont, Hebbal Kempapura, Bengaluru, Karnataka. Pin-560024 (India)",vehicle_breakdown,False,2023-11-10 01:22:07.058000+00:00,closed,lcv,ORR North 1,High,Hebbala,2023-11-10 02:24:49.178832+00:00,,North Zone 1,Junction_Unknown,True,False,1,4,11,0,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,night,0,0,0,0,0,0,0,vehicle_breakdown_ORR North 1,vehicle_breakdown_night,0_night,unplanned_vehicle_breakdown,8761892c8ffffff,0,0,0,0.0,0.0,0.0,0,0,0,0,0,High,0,62.70201386666667,4.154216176939707
unplanned,13.0141225,77.5660043,"Bharat Rathna Professor CN Rao Circle Underpass, CNR Rao Circle, Indian Institute of Science, Bengaluru, Karnataka. Pin-560012 (India)",others,False,2023-11-10 01:33:08.127000+00:00,closed,Unknown_VehType,Tumkur Road,High,Sadashivanagar,2023-11-18 02:52:23.032540+00:00,,West Zone 2,Other_Junction,True,True,1,4,11,0,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,night,0,2,2,2,2,1,1,others_Tumkur Road,others_night,0_night,unplanned_others,8760145b3ffffff,1,2,3,0.0625,0.0625,0.125,0,0,0,0,0,High,0,11599.248425666667,9.358781792870884
unplanned,13.0141018,77.56591,"CV Raman Road, CNR Rao Circle, Indian Institute of Science, Bengaluru, Karnataka. Pin-560012 (India)",others,False,2023-11-10 01:34:33.186000+00:00,closed,Unknown_VehType,Tumkur Road,High,Sadashivanagar,2023-11-18 02:52:20.793390+00:00,,West Zone 2,Other_Junction,True,True,1,4,11,0,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,night,0,3,3,3,3,2,2,others_Tumkur Road,others_night,0_night,unplanned_others,8760145b3ffffff,2,3,4,0.11764705882352941,0.11764705882352941,0.17647058823529413,0,0,0,0,0,High,0,11597.7934565,9.358656359314105
unplanned,12.9400211,77.7473129,"Varthur Main Road, Gandhi Circle, Varthur Marattahalli, Bengaluru, Karnataka. Pin-560087 (India)",road_conditions,False,2023-11-10 02:16:04.710000+00:00,closed,Unknown_VehType,Non-corridor,Low,Whitefield,2024-02-23 21:43:56.883112+00:00,,East Zone 1,Junction_Unknown,True,False,2,4,11,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,night,0,7,7,0,0,0,0,road_conditions_Non-corridor,road_conditions_night,0_night,unplanned_road_conditions,87618920effffff,0,0,0,0.0,0.0,0.3684210526315789,0,0,0,0,0,Low,0,38078.83889102991,10.547440258093566
