event_type,latitude,longitude,address,event_cause,requires_road_closure,start_datetime,status,authenticated,description,veh_type,corridor,priority,police_station,closed_datetime,resolved_datetime,zone,junction,zone_known,junction_known,hour_of_day,day_of_week,month,is_weekend,is_public_holiday,corridor_rolling_7d,corridor_rolling_30d,zone_rolling_7d,zone_rolling_30d,h3_cell,police_station_rolling_30d,priority_target,closure_target,clearance_time_minutes
unplanned,12.9668967,77.610555,"Richmond Road, Monsignor Dsouza Circle, Ashok Nagar, Bengaluru, Karnataka. Pin-560025 (India)",others,False,2023-11-09 19:24:48.154000+00:00,closed,yes,Off road in the road sailencer cutt,Unknown_VehType,Non-corridor,Low,Ashok Nagar,2023-11-09 22:48:37.836256+00:00,,Central Zone 1,Other_Junction,True,True,19,3,11,0,0,0,0,0,0,87618925affffff,0,Low,0,203.8280376
unplanned,12.9819654,77.594477,"Cubbon Road, Police Thimmaiah Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",accident,False,2023-11-09 19:28:05.033000+00:00,closed,yes,Traffic slow movement,Unknown_VehType,CBD 2,High,Cubbon Park,,,Central Zone 2,Other_Junction,True,True,19,3,11,0,0,0,0,0,0,8760145b4ffffff,0,High,0,
unplanned,12.9623447,77.5945534,"Mission Road, Ashirwadam Junction, Shanti Nagar, Bengaluru, Karnataka. Pin-560027 (India)",vehicle_breakdown,False,2023-11-09 19:28:31.579000+00:00,closed,yes,No problem..,bmtc_bus,Non-corridor,Low,Halasuru Gate,,,Central Zone 2,Other_Junction,True,True,19,3,11,0,0,1,1,1,1,87618925bffffff,0,Low,0,
unplanned,12.9217733,77.585775,"38th Cross Road, Block 4T East, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)",water_logging,False,2023-11-09 20:51:36.296000+00:00,closed,yes,Traffic movement is noraml,Unknown_VehType,Non-corridor,Low,Jayanagara,2023-11-13 21:31:36.702368+00:00,,South Zone 1,Junction_Unknown,True,False,20,3,11,0,0,2,2,0,0,87618925dffffff,0,Low,0,5800.0067728
unplanned,12.9274491,77.6214064,"1st Cross Road, Koramangala Water Tank Junction, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",pot_holes,False,2023-11-09 21:21:43.780000+00:00,active,yes,,Unknown_VehType,IRR(Thanisandra road),High,Adugodi,,,South Zone 2,Other_Junction,True,True,21,3,11,0,0,0,0,0,0,87618925cffffff,0,High,0,
unplanned,13.0139483,77.5658217,"Bharat Rathna Professor CN Rao Circle Underpass, CNR Rao Circle, Indian Institute of Science, Bengaluru, Karnataka. Pin-560012 (India)",others,False,2023-11-09 22:01:24.938000+00:00,active,yes,Lead damage,Unknown_VehType,Tumkur Road,High,Malleshwaram,,,West Zone 2,Other_Junction,True,True,22,3,11,0,0,0,0,0,0,8760145b3ffffff,0,High,0,
unplanned,12.9647158,77.5839903,"SP Road, Shoukath Mohalla, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",others,False,2023-11-09 22:10:51.914000+00:00,closed,yes,[PERSON] no problem sir,Unknown_VehType,Mysore Road,High,Halasuru Gate,2023-11-15 21:19:57.816633+00:00,,Central Zone 2,TownhallJunction,True,True,22,3,11,0,0,0,0,2,2,87618925bffffff,1,High,0,8589.098377216667
unplanned,12.9554704,77.5921748,"KH Road, BMTC Junction, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",vehicle_breakdown,False,2023-11-09 22:19:50.287000+00:00,closed,yes,,bmtc_bus,Non-corridor,Low,Wilson Garden,,,Central Zone 2,Other_Junction,True,True,22,3,11,0,0,3,3,3,3,87618925bffffff,0,Low,0,
unplanned,12.9581237,77.5739029,"KR Main Road, Professor P Shivshankar Circle, VV Puram, Bengaluru, Karnataka. Pin-560004 (India)",vehicle_breakdown,False,2023-11-09 22:35:52.555000+00:00,closed,yes,BMTC BUS offload  K R Road shivashankar junction towords Medical College junction one side vehicle moving Sir,bmtc_bus,Non-corridor,Low,V.V.Puram (C.Pet),2023-11-10 00:13:30.616095+00:00,,Central Zone 2,Other_Junction,True,True,22,3,11,0,0,4,4,4,4,87618925bffffff,0,Low,0,97.63435158333333
unplanned,13.09094844,77.53679215,"HP, Hesarghatta Road, Guni Agrahara, Sector 6, Dr. Shivaram Karanth Layout, Vaderahalli, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560097, India",accident,False,2023-11-09 22:59:04.908431+00:00,closed,yes,,Unknown_VehType,Non-corridor,Low,Jalahalli,,,Zone_Unknown,Junction_Unknown,False,False,22,3,11,0,0,5,5,0,0,87601696cffffff,0,Low,0,
unplanned,12.9988243,77.5843343,"Sankey Road, MD Nanjundaswamy Circle, Rajamahal Guttahalli, Bengaluru, Karnataka. Pin-560003 (India)",vehicle_breakdown,False,2023-11-09 23:16:45.989000+00:00,closed,yes,Due to breakdown,heavy_vehicle,Bellary Road 1,High,Sadashivanagar,,,West Zone 2,Junction_Unknown,True,False,23,3,11,0,0,0,0,1,1,8760145b6ffffff,0,High,0,
unplanned,12.9361824,77.5344466,"Dr Rajkumar Puniya Bhoomi Road, New D Souza Nagar, Banashankari Stage 3, Bengaluru, Karnataka. Pin-560085 (India)",vehicle_breakdown,False,2023-11-10 00:20:36.040000+00:00,closed,no,Traffic moment normal sir,bmtc_bus,ORR West 1,High,Banashankari,,,West Zone 1,Other_Junction,True,True,0,4,11,0,0,0,0,0,0,8760145a0ffffff,0,High,0,
unplanned,13.04547,77.5073579,"Hesaraghatta Main Road, Hesaragatta Cross Junction, T Dasarahalli, Bengaluru, Karnataka. Pin-560057 (India)",vehicle_breakdown,False,2023-11-10 00:29:20.840000+00:00,closed,yes,Eicher vehicle offroad due to starting problem towards city at h cross,heavy_vehicle,Tumkur Road,High,Chikkabanavara,,,North Zone 2,HesaraghattaJunction,True,True,0,4,11,0,0,1,1,0,0,87601459effffff,0,High,0,
unplanned,12.9576503,77.55271,"Mysore Road, Valmiki Nagar, Bengaluru, Karnataka. Pin-560026 (India)",vehicle_breakdown,False,2023-11-10 00:31:14.562000+00:00,closed,no,"Back wheel puncher near tollgate [LOCATION] out going side sir, traffic slowly moving sir...",lcv,Mysore Road,High,Chamarajpet,2023-11-10 01:00:36.722165+00:00,,Central Zone 2,toll gate mysore road,True,True,0,4,11,0,0,1,1,5,5,8760145a2ffffff,0,High,0,29.369336083333334
unplanned,12.9591732,77.6571489,"Old Airport Road, Ganesha Mandira Circle, Airport Area, Bengaluru, Karnataka. Pin-560017 (India)",others,False,2023-11-10 00:56:37.499000+00:00,closed,yes,Vehicle moments slove,Unknown_VehType,Old Airport Road,High,Jeevanbheemanagar,2023-11-15 22:40:17.267416+00:00,,Central Zone 1,Other_Junction,True,True,0,4,11,0,0,0,0,1,1,876189252ffffff,0,High,0,8503.662806933333
